subject,object,S
Argentina,Peso,"Argentina with the largest population. Alfonsín gave Duhalde decisive support, instructing the radical legislators to vote for him, and giving him two ministers, the radicals Horacio Jaunarena and Jorge Vanossi. The legislators loyal to Menem eventually voted for Duhalde as well. The radicals' support allowed Duhalde to govern for the remainder of De la Rúa's term of office, instead of governing for 90 days and calling for new elections, as was the case of Rodríguez Saá. Duhalde was appointed president on January 2, 2002.
= = = Economic policy = = =
Duhalde, Alfonsín, their parties, the unions and the Church all agreed to promote policies to increase the industrial growth of the country. For this purpose, Duhalde created the ministry of production, with functions that used to belong to the ministries of economy and foreign relations. The new minister was José Ignacio de Mendiguren, head of the Argentine Industrial Union. Alfonsín negotiated with him, on Duhalde's behalf, while Congress was still voting for the new president. Duhalde announced at his inauguration that he would repeal the convertibility plan, considered the main cause of the economic crisis. Although Menem proposed a full dollarization of the Argentine economy, Duhalde preferred to instead stick to the peso and order a devaluation. Although it was initially expected to make a 40% devaluation, the exchange rate of 1 peso to 1 dollar jumped to 3 pesos to 1 dollar, a 200% devaluation. The higher dollar price allowed for more lucrative exports, increased economic activity and a growth in the employment rates, but at the cost of a higher cost of living.
The financial operations made in dollars were subject to a strong currency substitution to peso"
Norway,Krone,"Norway Airlines lost NOK 12 million in 1990. In January 1991, the airline won the contract to fly personnel the Norwegian Armed Forces, as the airline priced half a million krone"
Norway,Krone,"Norway lost 1,300 passengers after the Norwegian Air Force decided to not permit their employees to travel from Ørland, but instead have to take cheaper flights from Trondheim, located about a two-hour drive away. The reduction in ridership, along with a strengthening of the Danish krone"
Norway,Krone,"Norway (Storting) was to become bicameral with the second chamber made up of Soviet-style elected representatives from the working population. Quisling focused more on organisation than the practicalities of government; for instance, all members of Norsk Aktion were to have their own designation in a militaristic hierarchy.
Quisling next sold a large number of antiques and works of art that he had acquired cheaply in post-revolutionary Russia. His collection stretched to some 200 paintings, including works claimed to be by Rembrandt, Goya, Cézanne and numerous other masters. The collection, including ""veritable treasures"", had been insured for almost 300,000 krone"
Norway,Krone,Norway or Sweden. The company stated that this was in part because of a strong Norwegian krone
Norway,Krone,"Norway during peacetime, thus eliminating NATO's strategic need for Banak. The airport was therefore removed from the investment program.
By 1959 the United States was concerned that the militarization of the Kola Peninsula would become the prime point of a Soviet attack on North America. A new discussion about location arose, with Alta and Kautokeino as the main alternatives. Banak was estimated to cost 4.9 million Norwegian krone"
Norway,Krone,"Norway has won a World Luge Championships medal.
= = History = =
Korketrekkeren was originally part of Frognerseterveien, a road which ran up to Frognerseteren. It was completed in 1867 to the orders of landlord Thomas Johannessen Heftye, who had been purchasing forest properties in the area. The section between Svendstuen and Frognerseteren gradually became known as Korktrekkeren. Holmen- og Voksenkollselskapet was established in 1888 and undertook a series of public infrastructure investments in the area, including the construction of roads, skiing trails, natural tobagganing tracks and a chapel. The property was given to Kristiania Municipality (today Oslo Municipality) in 1894. Tobagganing became a popular sport from the 1880s and Holmen- og Voksenkollselskapet rented out sleds which were permitted to be used on roads and designated tracks after 19: 00 on evenings with moonlight.
Norsk Vinterturistforening was founded in 1899 to work towards encouraging English tourists to visit Oslo, specifically by building tobogganing tracks. A committee was established in 1904 to look into building a new tobogganing track in the Holmenkollen area. It proposed that two new tracks be built, one from Voksenkollveien to Peisestuen, and one from Peisestuen to Midtstuen, and that Korketrekkeren be upgraded to allow for safer tobogganing. The investments cost 7,000 Norwegian krone"
Norway,Krone,"Norway also has a close cooperation with the other Nordic police forces. The Norwegian Police Service occasionally participates in international operations.
In 2011 the police force had 746,464 assignments, the most common with 180,000 assignments being investigation cases, such as reported deaths, controls and reports of motor vehicle theft. This was followed by traffic assignments, public disturbance of peace, animal cases, theft, private disturbance of peace, and sickness and psychiatry. Seventy-five percent of assignments are solved with a single patrol, while ninety percent are solved with one and two. In armed situations only twenty percent are solved with a single patrol. In 2010 the Norwegian Police Service had 13 billion Norwegian krone"
Norway,Krone,"Norway national under-21 football team matches.
LSK started purchasing land for their own stadium in 1947, having previously played at Lillestrøm Stadion. Construction started in 1950 and Åråsen opened on 7 July 1951, having cost 150,000 Norwegian krone"
Norway,Krone,"Norway Post operated a post office at Hotellneset from 1897 to 1899. The first commercially viable coal on Svalbard was harvested by Søren Zakariassen in 1899. In 1901, Bergen-Spitsbergen Kullgrube-kompani started mining coal in Adventtoppen.
The American industrialist John Munroe Longyear visited Spitsbergen as a tourist in 1901, where he met with an expedition prospecting for coal. He returned to Spitsbergen 1903, where he met Henrik B. Næss in Adventfjorden, who gave him samples and information on coal fields. Along with his associate Frederick Ayer, Longyear bought the Norwegian claims on the west side of Adventfjorden, and expanded the claims significantly the following year. In 1906, the Boston-based Arctic Coal Company, with Ayer and Longyear as the main shareholders, started mining in Mine 1a, after having built docks and housing. The company had American administration, but mostly Norwegian labourers, and named the town Longyear City. Coal was transported the 1.2 kilometers (0.75 mi) from the mine to the port using an aerial tramway. In 1913, the company started preliminary work to open Mine 2a.
Following financial difficulties during the First World War, the mining operations were bought by Store Norske, which was incorporated in Oslo on 30 November 1916. That year, SNSK built five new barracks, including one that was made into a hospital. SNSK introduced its own money with approval from Norges Bank, consisting entirely of banknotes at par with Norwegian krone"
Norway,Krone,"Norway resumed full responsibility for the recovery and investigation, but Russian help was accepted. To allow the Russian workers access from the morning of 1 September, the crew was allowed to fly in and establish a base camp, but no work was to be done until Norwegian supervisors arrived in the morning. However, two people were observed at the wreck at about 20: 00 CEST, who were brought to the Governor's offices for questioning. As they were both members of the Russian team, it was decided that the base would be disbanded.
There was still fog on the plateau on 1 September, but by 15: 00 CEST it was possible to fly a team there by helicopter. Because the fog stayed, the team retained work until 03: 00 CEST in the night. In the following days, the fog lifted, making work and transport easier. By 5 September, all bodies had been recovered and the work at the plateau could be terminated. The recovery in the valley was completed two days later. The accident resulted in about 40 journalists staying in Svalbard to cover the story. The Norwegian authority's costs related to the investigation and other activities related to the accident were estimated at 30 million Norwegian krone"
Norway,Krone,"Norway asking for further accident investigation, but after acquiring statements from the Chief of Police of Sogn and the Riksadvokaten and cycling the case through Ministry of Defence, the Parliament declared that no action should be taken. In addition, the lawsuit was dropped, after the airline reached an ""agreement"" with Storm's family, and had a letter publicly printed in which Storm was cleared of all responsibility for the accident.
On 23 May 1937, a group of four climbers descended the face on a different route and were able to find a golden ring and a golden watch, which they sent to the airline. The found some body parts which they offered to recover for 500 Norwegian krone"
Norway,Krone,"Norway from 1935, resulting in the coastal route from Bergen to Tromsø commencing. The following year a connecting route from Tromsø via Hammerfest to Honningsvåg was subcontracted to Widerøe. The water aerodrome in Hammerfest was located at Rypefjord and consisted of a buoy where the aircraft parked; passengers were transported to the aircraft in a boat. All flights were terminated in 1939 and remained so until the end of World War II in 1945.
DNL resumed the Hammerfest route in 1946, connecting the town to Tromsø, Vadsø and Kirkenes with a Junkers Ju 52. The route later also served Alta and made part of the coastal route to Bergen. The segment north of Tromsø was taken over by Widerøe in 1954, and two years later Widerøe also started a route from Hammerfest via Alta to Bardufoss Airport, which allowed for a transfer to an Oslo-bound aircraft. Widerøe mostly used Noorduyn Norseman and de Havilland Canada Otters on the routes. Alta Airport and two other primary airports in Finnmark opened in 1963 and Widerøe decided to terminate its seaplane routes in the county. At the time a bus trip from Hammerfest to Alta took four hours. Unlike the seaplane routes, the landplane routes from Alta were able to operate during winter. Norving established an air ambulance base at Hammerfest in 1961. With the opening of Alta Airport, Norving applied for permission and subsidies to operate a feeder service from Hammerfest to Alta, but the application was rejected by the government.
The mid-1960s saw several proposals for regional airports in Finnmark. A committee appointed by Finnmark County Council proposed, in 1966, Hammerfest as one of six suitable sites for a simple airfield to serve air ambulance and air taxi services. At the same time the government was working on plans to build a national network of short take-off and landing airport. The plans eventually called for six airports in northern Troms and Finnmark, a plan passed by Parliament in 1972. Both Widerøe and Norving applied to operate the subsidized routes in Finnmark, and the contract was awarded to Widerøe, which operated the subsidized routes in the rest of the country. The airport opened on 1 August 1974 with Hammerfest Municipality as the owner and operator. The same day four other airports in Finnmark and Troms commenced operations. These were all originally served using Widerøe's de Havilland Canada Twin Otter aircraft. The airline established its technical base for Finnmark at Hammerfest.
Widerøe introduced the de Havilland Canada Dash 7 on the route from Tromsø Airport to Hammerfest in 1983, the same year as Norving started flights from Hammerfest to Hasvik Airport. The Hasvik roue was taken over by Widerøe in 1990. Helikopter Service established a helicopter base at Hammerfest Airport in 1989 to serve the offshore petroleum industry which was searching for oil in the Barents Sea. Widerøe introduced the Dash 8 on the Finnmark routes in 1995. The airport was taken over by the state and the Civil Aviation Administration (later renamed Avinor) on 1 January 1997. The state paid Hammerfest Municipality 19.5 million Norwegian krone"
Sweden,Krona,"Sweden and Denmark to establish high-speed rail connection between the countries' capitals. Linx was the train operating part of the agreement, while the governments would have to invest in better rail infrastructure to allow higher speeds.
The company was introduced by NSB and SJ on 12 May 2000. The stated plans were to start with the service from Gothenburg to Copenhagen in January 2001, from Oslo to Gothenburg in June, and from Oslo to Stockholm in January 2002. The company would have its head office in Gothenburg and would lease rolling stock from SJ. NSB's chief executive officer, Osmund Ueland, became the company's first chair. The company had a share capital of 10 million Swedish krona"
Sweden,Krona,"Sweden and Denmark to establish high-speed rail connection between the countries' capitals. Linx was the train operating part of the agreement, while the governments would have to invest in better rail infrastructure to allow higher speeds.
The company was introduced by NSB and SJ on 12 May 2000. The stated plans were to start with the service from Gothenburg to Copenhagen in January 2001, from Oslo to Gothenburg in June, and from Oslo to Stockholm in January 2002. The company would have its head office in Gothenburg and would lease rolling stock from SJ. NSB's chief executive officer, Osmund Ueland, became the company's first chair. The company had a share capital of 10 million Swedish krona"
Sweden,Krona,"Sweden and Denmark to establish high-speed rail connection between the countries' capitals. Linx was the train operating part of the agreement, while the governments would have to invest in better rail infrastructure to allow higher speeds.
The company was introduced by NSB and SJ on 12 May 2000. The stated plans were to start with the service from Gothenburg to Copenhagen in January 2001, from Oslo to Gothenburg in June, and from Oslo to Stockholm in January 2002. The company would have its head office in Gothenburg and would lease rolling stock from SJ. NSB's chief executive officer, Osmund Ueland, became the company's first chair. The company had a share capital of 10 million Swedish krona"
Sweden,Krona,"Sweden and Denmark to establish high-speed rail connection between the countries' capitals. Linx was the train operating part of the agreement, while the governments would have to invest in better rail infrastructure to allow higher speeds.
The company was introduced by NSB and SJ on 12 May 2000. The stated plans were to start with the service from Gothenburg to Copenhagen in January 2001, from Oslo to Gothenburg in June, and from Oslo to Stockholm in January 2002. The company would have its head office in Gothenburg and would lease rolling stock from SJ. NSB's chief executive officer, Osmund Ueland, became the company's first chair. The company had a share capital of 10 million Swedish krona"
Sweden,Krona,"Sweden and Denmark to establish high-speed rail connection between the countries' capitals. Linx was the train operating part of the agreement, while the governments would have to invest in better rail infrastructure to allow higher speeds.
The company was introduced by NSB and SJ on 12 May 2000. The stated plans were to start with the service from Gothenburg to Copenhagen in January 2001, from Oslo to Gothenburg in June, and from Oslo to Stockholm in January 2002. The company would have its head office in Gothenburg and would lease rolling stock from SJ. NSB's chief executive officer, Osmund Ueland, became the company's first chair. The company had a share capital of 10 million Swedish krona"
Denmark,Krone,"Denmark for turnover on tourism, reaching 1.6 million Danish krone"
Denmark,Krone,"Denmark hosted the contest, the most recent previous occasion being in 2001. The two semi-finals took place on 6 May and 8 May 2014, and the final on 10 May 2014. The shows were presented by Lise Rønne, Nikolaj Koppel and Pilou Asbæk.
The show organisers from Copenhagen all in all spent 112 million Danish krone"
Denmark,Krone,"Denmark – Norway never formally gave up its claim to Svalbard, the archipelago continued to be a terra nullius — a land without a government.
The English and Dutch partitioned the island in 1614, as the aggression was hampering the profitability of both groups. That year the Netherlands created Noordsche Compagnie as a whaling cartel. After the Muscovy Company fell into financial difficulties some years later, the Noordsche Compagnie got the upper hand and was able to dominate the whaling and fend off the English. The company established itself in the northwestern corner of Spitsbergen (around Albert I Land) and only permitted a limited Danish presence. The English whaled further south, while the French were allocated to the north coast and the open sea. From the 1630s, the situation stabilized, and there were only a limited number of aggressive incidents. By the end of the 18th century, whaling had ceased as the bowhead whale had reached local extinction.
= = = Establishing jurisdiction = = =
Work on establish an administration was initiated by Adolf Erik Nordenskiöld in 1871. After contacting the invested governments, he concluded that only Russia and Norway would object to an annexation of the island. Fridtjof Nansen's endeavors raised the Norwegian public's consciousness of the Arctic, which again brought forth public support for annexation of Svalbard. Industrialization and permanent settlements on Svalbard began in the 1900s with the introduction of coal mining. This resulted in the need for jurisdiction. Firstly, there was no means to make a mining claim legal. Secondly, there was a need for conflict resolution, particularly regarding labor conflicts, which often saw the mining company and the workers have different nationalities.
The Government of Norway took initiative in 1907 for negotiations between the involved states. Multilateral conferences were held in 1910, 1912 and 1914, all of which proposed various types of joint rule. The breakthrough came at the Paris Peace Conference following the First World War. Germany and Russia had both been excluded, while Norway enjoyed much goodwill after its neutral ally policy during the war and was at the same time seen as harmless. The Svalbard Treaty of 9 February 1920 granted Norway full sovereignty over Svalbard, although with two major limitations: all parties to the treaty had equal rights to economic resources, and the archipelago was not to be used for ""warlike purposes"".
After significant political debate, a proposal to establish Svalbard as a dependency and administrate it from Tromsø was rejected. Instead the Svalbard Act specified that the islands would be administered by the Governor of Svalbard and were considered ""part of the Kingdom of Norway"", although not regarded as a county. The islands had until then been known as the Spitsbergen Archipelago, and it was at this time the term Svalbard was introduced. The legislation took effect on 14 August 1925. A mining code was passed in 1925, and by 1927 all mining claims, some of which conflicted, were resolved. All unclaimed land was taken over by the Government of Norway. Although the Soviet Union was initially skeptical to the treaty, its government was willing to sign in exchange for a Norwegian recognition of the Soviet regime. Until the Second World War, both the governor and the Commissioner of Mining were a single person, stationed on the mainland during the winter.
= = = Cold War = = =
Mining fell into an economic slump during the 1920s, resulting in several of the mining communities being closed. By the 1930s only Store Norske Spitsbergen Kulkompani and the Soviet state-owned Arktikugol were left, which led to a bilateralization of politics. The archipelago was evacuated during the Second World War and the major settlements leveled by Germany during Operation Zitronella. The Soviet Union proposed in 1944 that Svalbard become a condominium under joint Norwegian and Soviet rule, except for Bjørnøya, which would be transferred to the Soviet Union. Although the proposal was discussed in Norway, it was ultimately rejected in 1947. The Norwegian and Russian communities were largely built independent of each other and each had their own infrastructure, such as postal service, radio stations and transport. The Norwegian population stabilized at about 1,000 people, while there were about twice as many Soviets.
The political tension between Norway and the Soviet Union became heated after Norway joined NATO in 1949. The Soviet Union issued memorandums to Norway stating that Svalbard could not be under a NATO joint command, but this was rejected by Norway, and the issue laid at rest. A new protest was issued in 1958 after Norsk Polar Navigasjon proposed building an private airport at Ny-Ålesund, which was then actively opposed by the Norwegian government in order to not agitate the Soviet Union. New protests were issued against the establishment of the European Space Research Organization's Kongsfjord Telemetry Station, although the protests did not stop construction. A compromise about a Norwegian civilian airport was reached in 1971 and Svalbard Airport, Longyear opened in 1975, serving both Soviet and Norwegian towns.
Twenty-one miners were killed in an accident in Ny-Ålesund in 1962. The resulting Kings Bay Affair, where unsafe mining had been approved to maintain an increased Norwegian presence on Svalbard, ultimately led to vote of no confidence in Parliament and the withdrawal of Prime Minister Einar Gerhardsen's third cabinet. Oil drilling was started by Caltex in 1961. Caltex was granted claims based on indications of oil, rather than samples. Arktikugol was not granted claims based on similar evidence, contributing to tensions with the Soviet Union. Both the Kings Bay Affair and the Caltex Affair initiated public debate about the administration of Svalbard, and in particular the lack of resources and control of Soviet settlements. Funding for local and central administration was increased heavily, and the Governor increased its activities in Soviet settlements. More than half the archipelago was protected in 1972 through four national parks, fourteen bird sanctuaries and four nature reserves. Store Norske was nationalized between 1973 and 1976.
= = = Normalization = = =
The Svalbard Council was established on 1 November 1971. It consisted of 17 nonpartisan members who were elected or appointed from three different Norwegian groups — SNSK employees, government employees and others, although the ratio changed several times. Svalbard Samfunnsdrift (SSD), a limited company which was responsible for public infrastructure and services in Longyearbyen, was established by Store Norske on 1 January 1989. Responsibilities included healthcare, the fire department, the kindergarten, roads, garbage disposal, power production, the water and sewer system, the cinema, cultural actives and the library. Ownership of SSD was taken over by the Ministry of Trade and Industry on 1 January 1993. During the 1990s the authorities started a process to ""normalize"" Longyearbyen by abolishing the company town scheme and introducing a full range of services, a varied economy and local democracy. The Svalbard Council changed its regulations from 1993 and allowed parties to run for election. Longyearbyen Community Council was established in 2002, replacing the Svalbard Council and assimilating SSD. From 1990 to 2011, the Russian and Ukrainian population fell from 2,300 to 370, while the Norwegian population increased from 1,100 to 2,000.
= = Legislation = =
The Svalbard Treaty was signed on 9 February 1920 and came into effect on 14 August 1925. The treaty defines Svalbard as all islands, islets and skerries from 74 ° to 81 ° north latitude, and from 10 ° to 35 ° east longitude. It secures full Norwegian sovereignty over the archipelago, but contains several restrictions: peaceful use of the islands, the non-discrimination of citizens and companies of signatory countries, the obligation to protect the natural environment and limitations in taxation. The treaty has 39 signatories.
The Svalbard Act was passed on 17 June 1925 and establishes that Svalbard is ""part of the Kingdom of Norway"". It further stipulates that civil law, criminal law and procedural law applies to Svalbard, but that other provisions only apply if specifically stipulated. As of 2008 there were 31 regulations which applied to Svalbard. The act also dictates the administration of Svalbard, notably establishing the governor and the Commissioner of Mines.
The Svalbard Environmental Protection Act was passed on 15 June 2001 and took effect on 1 July 2002, replacing various regulations. The act was created to secure a continuous, nearly untouched natural environment on Svalbard, particularly regarding wilderness, landscape, flora, fauna and cultural heritage. The act is enacted by the Ministry of the Environment, the Climate and Pollution Agency, the governor, the Directorate for Cultural Heritage and the Directorate for Nature Management. The act is supplemented by various regulations. Specific issues addressed in the act include the protection of plants and all remains of all human activity up to 1945. It imposes limitations on traffic in permitted areas, particularly motorized vehicles, but allows locals to operate snowscooters in more areas than tourists. Two-thirds of Svalbard is protected through national parks and nature reserves.
= = Institutions = =
= = = Governor = = =
The Governor of Svalbard (Norwegian: Sysselmannen) is the principal representative of the Government of Norway in Svalbard. The institution is located in Longyearbyen and has since 2009 been led by Governor Odd Olsen Ingerø. The institution's main responsibilities are implementing Norwegian policies, safeguarding Norwegian rights and obligations and representing Svalbard in relation to central authorities. Specifically, the governor acts as chief of police, holds the authority of a county governor and enacts family law. The institution has 30 employees and is subordinate to the Ministry of Justice and Public Security.
Svalbard is a police district of the Norwegian Police Service, with the governor having the responsibilities of both sheriff and chief of police. This includes security; law and order enforcement, including traffic controls; case investigation; and preventative systems. The governor is responsible for search and rescue and is head of the local rescue station and subordinate of the Joint Rescue Coordination Centre of Northern Norway in Bodø. The institution is also responsible for issuing of driver's licences, vehicle registration, passports and firearms licenses. The governor and his deputy represent the public prosecutors.
The governor is also responsible for environmental protection, including nature supervision, environmental monitoring, species management, management of cultural heritage sites, administration of tourism and travel, oil spill contingency and safeguarding of the environment. The agency maintains two helicopters, a Eurocopter AS332 Super Puma and a Eurocopter AS365 Dauphin, the inspection vessel Nordsyssel as well as lighter equipment such as snowmobiles, cars and boats. The governor's jurisdiction applies to all land and the territorial waters up to 12 nautical miles (22 km; 14 mi) from land.
= = = Longyearbyen Community Council = = =
Longyearbyen Community Council is the only elected local government in the archipelago and has many of the same responsibilities of a municipality. It is organized with a fifteen-member council which since 2011 has been led by Mayor Christin Kristoffersen of the Labour Party. The council's main responsibilities are infrastructure and utilities, including power, land-use and community planning, education from kindergarten to upper secondary level and child welfare. It operates three kindergartens in addition to the 13-grade Longyearbyen School. However, unlike mainland municipalities, the healthcare services are provided by the state through Longyearbyen Hospital, a clinic operated by the University Hospital of North Norway. No care or nursing services and welfare payments are available. Norwegian residents retain pension and medical rights through their mainland municipalities.
= = = Other = = =
The Commissioner of Mining for Svalbard is part of the Norwegian Directorate of Mining, but retains its own offices in Longyearbyen. The commissioner is responsible for administrating mineral rights, both for mining and petroleum. Other public agencies which have supervisory roles, but are not stationed on Svalbard, are the Norwegian Labour Inspection Authority, the Norwegian Petroleum Directorate, the Norwegian Directorate for Fire and Explosion Prevention and the Norwegian Directorate for Product and Electrical Safety.
Other public offices with presence on Longyearbyen are the Norwegian Polar Institute, the Norwegian Tax Administration and the Church of Norway. Svalbard is subordinate to Nord-Troms District Court and Hålogaland Court of Appeal, both located in Tromsø. Russia maintains a consulate in Barentsburg, led by Consule General Alexander Antipov.
= = Issues = =
= = = Peaceful use = = =
Article 9 of the Svalbard Treaty specifies that no fortifications and naval bases may be built on Svalbard, nor can the archipelago be used for ""warlike purposes"". The preparatory work of the treaty and later state practice has been to enforce that no military activity is carried out on the archipelago; however, the treaty as such does not ban, for instance, the construction of air stations or military installations not regarded as defense works. There is scholarly consensus that Article 9 is unclear, but that a military presence should only be established when there is an attack or threat of attack on Svalbard. Norway can clearly not use Svalbard to make a threat of war, but retains the right to self-defense against an attack on Svalbard. However, the right does not allow Norway to bring Svalbard into war as part of self-defense of other parts of the country.
The waters around Svalbard are of strategic significance for Russia as the Northern Fleet must pass through the area to reach the Atlantic Ocean. The concern of the Soviet Union and Russia was therefore to ensure that listening stations and anti-submarine warfare installations were not placed on the archipelago. Except during the Second World War, Norway has never stationed any military troops on Svalbard. However, the Norwegian Coast Guard carries out surveillance. There were many protests during the Cold War from the Soviet Union against Norwegian activity on the island, including purely civil arrangements. The Soviet Union issued many memorandums protesting such installations as satellite ground stations and airports, and even the filming of Orion's Belt, on the grounds that it could be a cover for or had the potential for being used for military activities.
= = = Sovereignty = = =
Norway was prior to 1920 extremely active in gaining international support for Norwegian sovereignty, but following the treaty, Norwegian interest in the archipelago dwindled. From the start of the Cold War, Norwegian politicians wanted to avoid bringing the islands into superpower politics. This resulted in a policy of avoiding agitating the Soviet Union, which again resulted in the Norwegian authorities actively working against both Norwegian and foreign activities on Svalbard which could raise tensions. Compared to mainland relations, which were dominated by deterring through NATO membership, the Norwegian policy on Svalbard was related to calming the Soviet Union. Similarly, while a foreign presence was encouraged on the mainland, it was strongly discouraged on Svalbard.
Nearly all Norwegian activity during the Cold War resulted in a protest from the Soviet Union, which claimed, without basis in the treaty, that the archipelago was a demilitarized zone. The Soviet Union would protest against any foreign and most new Norwegian activity on the grounds that it violated Article 9, even if it was not remotely related to military activity. The fear of such a reaction led Norway to disallow practically all foreign and innovative use of the archipelago. Norway essentially had a ""non-policy"" managing Svalbard with a defensive and inconsequential reaction every time activity was proposed.
Norway established a fisheries protection area surrounding Svalbard on 15 June 1977, which strictly regulates fisheries, but on a non-discriminatory basis. The zone extends 200 nautical miles (370 km; 230 mi) beyond the territorial waters. Norway maintains that the treaty's non-discrimination-policy only applies to land and the territorial waters and that Norway is free to establish an economic zone beyond that. Fishing vessels from Norway, Iceland, the Faeroe Islands, Russian and the European Union are awarded quotas for cod and herring; these and Greenland and Canada have been issued quotas for shrimp. Norway and the Soviet Union, later Russia, disagreed regarding the border between the two counties' exclusive economic zones in the Barents Sea. Norway claimed the internationally recognized equidistance principle should apply, while Russia claimed that the unilateral meridian line be used. The issue was resolved with a compromise in 2010.
= = = Non-discrimination = = =
The treaty ensures that all citizens and companies from signatory countries receive equal rights of access and residence. Norway may not discriminate — based on nationality — the rights to fish, hunt and conduct mining, trade, industry and maritime activity. However, these activities may be limited by non-discriminatory legislation. Thus Norway is permitted to place regulations and prohibitions on basis of other objective criteria, or ban certain activities altogether or in certain geographic areas. The non-discrimination clause also does not ban nationality discrimination elsewhere than in economic activity. Specifically, research and scientific activities do not fall under the non-discrimination clause.
A central part of the non-discrimination policy is the Mining Code of 7 August 1925. It is uncertain if the code is internationally binding, or if it can be amended unilaterally by Norway. Specifically, the commissioner issues licenses to search for minerals and state-owned and other owner's land and to register claims. To maintain a claim, the owner must work 1,500 man-hours per five years and pay an annual fee of 6,000 Norwegian krone"
Denmark,Krone,"Denmark to establish high-speed rail connection between the countries' capitals. Linx was the train operating part of the agreement, while the governments would have to invest in better rail infrastructure to allow higher speeds.
The company was introduced by NSB and SJ on 12 May 2000. The stated plans were to start with the service from Gothenburg to Copenhagen in January 2001, from Oslo to Gothenburg in June, and from Oslo to Stockholm in January 2002. The company would have its head office in Gothenburg and would lease rolling stock from SJ. NSB's chief executive officer, Osmund Ueland, became the company's first chair. The company had a share capital of 10 million Swedish krona (SEK) and was owned in equal shares by NSB and SJ. The company's first train ran on 7 January, from Gothenburg to Copenhagen. Service from Oslo to Gothenburg started on 17 June.
Because Linx was only to operate profitable routes, it was decided that the company not take over the night train service from Oslo to Copenhagen. NSB stated that they wanted all inter-Scandinavian passenger transport to be operated by the new company, and therefore decided to terminate the night train as of September 2. Although the night trains were filled during the summer and parts of the winter, there was a low ridership during the rest of the year. However, it was a lack of engineers that forced NSB to terminate the night train service as of 20 June. There were protests against the ending of the service, particularly in Norway. Marketing Director Øyvind Rørslett of Linx stated that ""we are concentrating on the day trains. We want to develop a holistic concept, where new modern trains are a major part. Night trains do not fit into this concept"".
X2 trains were never introduced on the section from Gothenburg to Oslo. Linx stated that investments for NOK 2 billion were needed on the Østfold Line to reach a travel time from Oslo to Gothenburg of 3 hours and 30 minutes, rather than the more than 4 hours at the time. In contrast, the Norway / Vänern Line on the Swedish side of the border meets the necessary standards.
The first service from Oslo to Stockholm ran on 16 June 2002. Initially there were only three daily services, but later that year, two more daily services were introduced. At the same time, travel time was reduced by 20 minutes, as the trains stopped at only three intermediate stations. Linx operated with different prices on the same route, depending on if the ticket was bought in Norway or Sweden. The company stated that this was in part because of a strong Norwegian krone"
Denmark,Krone,"Denmark from 31 January 2004. In February 2004, the company received a loan for NOK 650,000 from the municipality to operate pay off other debt. At the same time, the airline was sold to Sven Rosenvinge.
By 2005, the airline was still losing money. On 21 February, the Municipality of Ørland bought shares for NOK 1 million, while North Flying bought the remaining half of the company. Mayor Hallgeir Grøntvedt (Center Party) stated that while it was a risky investment for a municipality with limited budget, the airline was of great strategic importance for Ørland and Fosen. When the European Union introduced new security rules for airports from 1 January 2005, Ørland Airport was exempt, because of the small size of the aircraft. By April, the airport had received notice that 100% security control would still have to be introduced, costing the municipality NOK 465,000 per year. At the same time, Air Norway was still losing money, and applied to the municipality to not be charged landing fees at the airport. When this was granted, it saved the company NOK 540,000 per year. In July, Air Norway transported its 10,000th passenger and signed a new contract with the Air Force, which was responsible for more than half the ridership. In November, the administration of the airline was moved from Drammen to Ørland and Fosen Næringshage. Snorre Hvitsand was then hired as managing director.
In 2006, the company experienced a 40% passenger growth, and from 6 September, Air Norway also introduced services on Wednesday. The same year, the municipality started a NOK 1.8 million upgrade to the airport. When it opened on 3 September 2007, it became an international airport and allowed transit for passengers to Aalborg, plus increased security and a general renovation of the terminal building from 1978.
Following the bankruptcy of Coast Air in January 2008, Air Norway and North Flying were awarded an interim contract to operate the route from Fagernes to Oslo, with subsidies from the Norwegian Ministry of Transport and Communications. At the same time, the airline started a route from Fagernes to Trondheim Airport, Værnes. In March, they won the public service obligation (PSO) contract, granting them the route until 31 March 2009. During the first half of 2008, ridership at Fagernes Airport was reduced by 27.3%, compared with the first half of the previous year. From 1 April 2009, the Fagernes PSO contract was lost to DOT LT, and Air Norway terminated those routes.
In 2009, Air Norway lost 1,300 passengers after the Norwegian Air Force decided to not permit their employees to travel from Ørland, but instead have to take cheaper flights from Trondheim, located about a two-hour drive away. The reduction in ridership, along with a strengthening of the Danish krone"
